#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
scaffold_35	1033072	29	N	N	1	*	-58,-47,57,-73,-72,35,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-255,256,??,-197,??,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-195,??,-193,-193,-192,-192,-193,-192,-192,-192,-192,-193,-192,-192,-192,-192,-192,-191,-192,-193,-191,-192,-191,-192,-191,-192,-193,-192,-193,-192,-193,-192,-193,-191,-192,-191,29
contig_8	954811	30	N	N	1	*	8
contig_24	943113	28	N	N	1	*	24,-213,-208,203,203,203,203,204,203,205
contig_37	773909	28	N	N	1	*	106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,114,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,37
contig_21	732029	28	N	N	1	*	*,21
contig_41	342343	25	N	N	1	*	247,41,*
contig_34	310373	29	N	N	1	*	34
contig_78	309711	28	N	N	1	*	78,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
contig_23	299666	9	N	N	1	*	*,-263,-263,-263,-263,-263,-263,-263,-263,-263,23,-214,-214,-213,-210,-209,-211,-210,-209
scaffold_216	295667	31	N	N	1	*	216,??,-225,-225,-225,-225,-225,-225,-225,-225,-224,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-224,22
contig_258	240736	616	N	Y	36	*	258
contig_40	237946	33	N	N	1	*	53,53,53,40,-67
scaffold_189	231098	30	N	N	1	*	-189,??,226,-227,226,-227,226,42
scaffold_60	228148	31	N	N	1	*	-50,60,??,-244,-244,-244,-245,-244,-244,-244,-244,-244,-244,-245,-244,-244,-244,-244,-244,-244,-244,-244,-245,-244,-244,-244,-245,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-245,-244,-244,-244,-245,-244,-244,-244,-244,-245,-244,-244,-244,-36
contig_28	168059	29	N	N	1	*	28,-69,-68,-68,-55,-46,-45,-45,-44,-43,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
contig_54	165160	23	N	N	1	*	199,54,247
contig_190	95639	32	N	N	1	*	190
contig_207	71246	22	N	N	1	*	207
contig_228	65922	28	N	N	1	*	228
contig_188	57096	24	N	N	1	*	*,188,*
contig_223	56998	28	N	N	1	*	*,223,*
contig_199	41157	27	N	Y	2	*	199
contig_262	40664	508	N	Y	30	*	262
contig_247	38567	40	N	Y	2	*	247
contig_70	33785	16	N	N	1	*	-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,43,44,45,45,46,55,68,68,70,-199
contig_248	28759	11	N	N	1	*	-247,248,-247
contig_261	27881	100	N	N	5	*	-48,-48,-48,-48,52,-48,-48,-48,-48,-48,52,-48,-48,-48,-48,-48,-48,52,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,52,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,261,-57,47,58
contig_229	24853	11	N	Y	1	8	*,229,*
contig_230	23290	29	N	Y	1	8	*,230,*
contig_2	20733	528	N	Y	30	*	2
contig_67	20670	20	N	Y	1	*	67
contig_205	15283	32	N	Y	2	*	205
contig_112	13457	43	N	Y	14	*	112
contig_64	13084	28	N	N	1	*	*,64,*
contig_249	12719	11	N	Y	1	14	*,249,*
contig_254	11254	37	Y	Y	1	2	254
contig_198	10361	50	N	N	2	*	*,198,*
contig_3	10306	571	N	Y	33	*	3
contig_250	10086	34	N	Y	2	14	*,250,*
contig_4	8923	452	N	Y	26	*	4
contig_59	8405	85	N	Y	4	*	59
contig_194	8067	116	N	Y	23	*	194
contig_185	8026	22	N	Y	11	*	185
contig_6	7705	554	N	Y	32	*	6
contig_149	7565	925	N	Y	925	*	149
contig_239	7061	18	Y	Y	1	*	239
contig_231	6012	295	N	N	16	*	*,231,*
contig_183	5519	858	N	Y	214	*	183
contig_234	5090	10	Y	Y	1	*	234
contig_217	4623	14	Y	Y	1	*	217
contig_240	4453	13	Y	Y	1	*	240
contig_246	4233	10	Y	Y	1	*	246
contig_170	4211	239	N	Y	119	*	170
contig_5	4192	958	N	Y	55	*	5
contig_212	4177	11	N	Y	1	*	212
contig_215	4009	15	Y	Y	1	*	215
contig_243	3900	10	Y	Y	1	*	243
contig_176	3802	152	N	Y	30	*	176
contig_130	3706	10	N	Y	3	*	130
contig_241	3320	11	Y	Y	1	*	241
contig_137	2824	571	N	Y	285	*	137
contig_125	2747	545	N	Y	272	*	125
contig_140	2736	67	N	Y	33	*	140
contig_177	2565	47	N	Y	7	*	177
contig_251	2544	21	N	Y	1	16	*,251,*
contig_171	2520	9	N	Y	4	*	171
contig_150	2014	19	N	Y	9	*	150
contig_159	1926	166	N	Y	83	*	159
contig_256	1899	107	N	Y	6	*	256
contig_144	1885	15	N	Y	1	*	144
contig_115	1830	66	N	N	3	*	115
contig_165	1825	44	N	Y	14	*	165
contig_32	1677	55	N	Y	3	*	32
contig_142	1652	11	N	Y	3	*	142
contig_136	1643	524	N	Y	262	*	136
contig_141	1606	56	N	Y	28	*	141
contig_146	1593	58	N	Y	29	*	146
contig_174	1507	37	N	Y	4	*	174
contig_161	1501	40	N	Y	13	*	161
contig_101	1475	8	N	Y	1	*	*,101,*
contig_218	1468	10	Y	Y	1	*	218
contig_162	1461	77	N	Y	38	*	162
contig_186	1363	11	N	Y	11	*	186
contig_107	1317	9	N	Y	3	*	107
contig_133	1313	35	N	Y	8	*	133
contig_49	1262	98	N	Y	5	*	49
contig_187	1203	42	N	Y	8	*	187
contig_242	1129	11	N	Y	1	12	*,242,*
contig_145	1103	13	N	Y	1	*	145
contig_124	1101	15	N	Y	1	*	124
contig_117	1081	19	N	Y	9	*	117
contig_126	1026	15	N	Y	7	*	126
contig_1	1024	940	N	Y	55	*	1
contig_131	929	9	N	Y	1	*	131
contig_79	915	963	Y	Y	56	*	79
contig_158	890	9	N	Y	1	*	158
contig_139	883	9	N	Y	1	*	139
contig_169	838	25	N	Y	2	*	169
contig_154	829	8	N	Y	1	*	154
contig_128	826	135	N	Y	67	*	128
contig_87	786	963	N	N	50	*	*,87,*
contig_182	781	8	N	Y	1	*	182
contig_92	764	955	N	N	63	*	*,92,*
contig_91	757	1001	N	N	54	*	*,91,*
contig_119	757	17	N	Y	1	*	119
contig_181	748	10	N	Y	1	*	181
contig_98	747	979	N	Y	60	*	*,98,*
contig_178	724	7	N	Y	1	*	178
contig_85	720	978	N	Y	56	*	*,85,*
contig_157	716	9	N	Y	1	*	157
contig_110	716	120	N	Y	15	*	110
contig_164	709	7	N	Y	3	*	164
contig_148	708	9	N	Y	1	*	148
contig_147	704	12	N	Y	1	*	147
contig_132	698	9	N	Y	1	*	132
contig_33	696	8	N	Y	1	*	33
contig_180	695	32	N	Y	16	*	180
contig_134	687	9	N	Y	1	*	134
contig_118	683	15	N	Y	7	*	118
contig_179	682	9	N	Y	1	*	179
contig_109	676	82	N	Y	5	*	109
contig_97	676	964	N	Y	57	*	*,97,*
contig_93	667	1013	N	N	57	*	*,93,*
contig_143	658	17	N	Y	1	*	143
contig_90	642	986	N	N	58	*	*,90,*
contig_102	623	962	N	N	53	*	*,102,*
contig_100	597	13	N	N	1	*	*,100,*
contig_153	585	9	N	Y	1	*	153
contig_175	585	27	N	Y	13	*	175
contig_156	583	9	N	Y	1	*	156
contig_121	581	8	N	Y	1	*	121
contig_129	576	43	N	Y	5	*	129
contig_116	567	65	N	Y	3	*	116
contig_80	566	1136	N	N	59	*	*,80,*
contig_103	563	968	N	N	69	*	*,103,*
contig_88	561	62	N	N	2	*	*,88,*
contig_127	556	9	N	Y	1	*	127
contig_252	555	14	Y	Y	1	*	252
contig_104	554	148	N	N	7	*	*,104,*
contig_135	552	14	N	Y	1	*	135
contig_13	529	11	N	Y	1	*	13
contig_155	527	8	N	Y	1	*	155
contig_81	510	982	N	Y	56	*	*,81,*
contig_94	506	960	N	N	53	*	*,94,*
contig_84	502	986	N	N	60	*	*,84,*
contig_105	501	970	N	N	53	*	*,105,*
contig_83	500	976	N	N	54	*	*,83,*
contig_173	494	9	N	Y	1	*	173
contig_160	457	8	N	Y	1	*	160
contig_95	385	133	N	N	9	*	*,95,*
contig_96	296	508	N	Y	29	*	*,96,*
contig_152	286	9	N	Y	1	*	152
contig_86	245	622	N	N	32	*	*,86,*
contig_89	172	9	N	N	1	*	*,89,*
