Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
TE_00000157	DNA	Helitron	604	383	659	4422	0	0	0	0	0	0	48	0	0	86	0	123	140	0	271	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000491_INT	LTR	Copia	4320	4334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	2325	0	1084	1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000344_LTR	LTR	Copia	611	0	0	610	612	0	0	0	0	0	0	612	1083	3641	1776	3502	595	349	347	1043	696	323	357	591	578	614	266	726	631	0	0	501	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000011	DNA	Helitron	3211	1466	163	523	1119	1870	1165	1887	1598	1413	2517	1404	882	1076	1349	3328	3555	5236	4138	1997	6771	3132	1881	3481	2316	1077	1720	724	618	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000297_LTR	LTR	Copia	583	583	0	0	0	0	0	0	0	0	0	72	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000397	DNA	Helitron	1127	0	0	0	63	0	0	0	0	0	99	0	1118	1611	97	14	834	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000137	DNA	DTT	748	65	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000817	DNA	Helitron	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000249	DNA	Helitron	16190	823	1938	4279	2186	20427	7508	967	2352	288	282	436	33	836	534	441	0	1126	799	4763	2932	1771	3380	2220	7445	2308	3800	2447	6121	1081	3518	1654	0	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000444_LTR	LTR	Copia	177	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000415_LTR	LTR	Copia	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000779_LTR	LTR	Gypsy	594	541	0	0	0	0	0	52	0	52	0	295	295	474	447	512	212	1357	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000680	DNA	Helitron	1888	0	0	0	57	0	0	0	0	2046	606	1016	0	0	0	280	286	14	76	0	0	0	0	160	210	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000012	DNA	Helitron	6729	0	854	221	0	0	0	0	176	0	713	375	124	498	697	1306	521	1280	1098	764	352	442	885	465	815	354	476	0	139	457	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000106	DNA	Helitron	4842	0	0	0	41	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000503	MITE	DTA	262	0	0	0	0	0	0	0	0	0	0	0	0	0	85	150	0	119	52	141	0	550	535	734	58	192	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000436_LTR	LTR	Gypsy	406	0	519	0	226	519	0	0	340	122	558	0	0	0	0	0	207	451	0	282	242	0	626	251	211	212	0	199	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000254	DNA	DTC	1263	253	84	0	677	0	122	302	76	0	225	0	49	553	572	0	73	0	0	257	0	0	0	0	0	0	0	159	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000301	MITE	DTH	214	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	190	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000152	DNA	Helitron	3674	0	0	0	0	0	0	0	0	0	0	0	164	85	0	76	61	0	85	319	340	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000811_INT	LTR	Gypsy	5110	55635	26013	2566	7613	9832	0	4194	316	1360	8988	1805	2710	0	2472	326	0	2434	0	6198	4708	1883	3111	1830	0	372	677	199	0	0	516	1108	968	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000360_INT	LTR	Copia	4270	0	0	0	0	38	0	0	0	0	1252	156	0	0	341	471	0	79	0	0	0	313	1566	2595	555	1409	2064	1210	357	734	1226	392	418	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000195	DNA	Helitron	8079	435	1359	0	73	1022	0	366	102	367	206	54	129	265	891	508	647	385	815	617	507	239	222	501	253	400	598	309	1133	684	117	842	1073	319	308	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000462_INT	LTR	Copia	4278	0	0	0	0	0	0	0	0	2446	0	2018	0	0	0	0	98	0	512	0	1918	0	0	0	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000589_INT	LTR	Copia	2367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	69	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000203	DNA	Helitron	9046	88	0	408	5431	7030	1051	126	37	1226	371	125	1769	91	1591	840	118	516	620	657	401	134	366	77	423	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000327_LTR	LTR	unknown	382	0	0	0	361	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000676_LTR	LTR	Copia	5082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000358	DNA	Helitron	2195	0	0	0	0	0	0	3974	7580	32572	2209	1965	3280	224	183	0	1811	1391	0	1062	0	0	332	0	273	882	253	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000468	DNA	DTM	3496	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	94	127	0	0	0	0	181	0	0	179	0	0	53	53	0	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000033	DNA	Helitron	8677	166	94	111	0	0	33	69	120	0	0	0	0	0	0	117	0	0	0	0	18	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000838_INT	LTR	Gypsy	2685	0	0	690	8354	21029	12743	4487	0	2809	2659	116	104	0	2654	79	108	2753	1781	0	0	974	0	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000060	DNA	DTM	625	3351	4419	3036	0	587	0	614	0	0	1235	593	0	0	0	179	128	0	402	97	0	0	96	906	183	1238	1744	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000844_LTR	LTR	Gypsy	796	135	1348	3093	1517	4035	796	0	0	0	0	0	0	0	0	52	0	0	0	0	88	309	0	0	0	656	0	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000740_INT	LTR	Copia	4592	0	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326	193	653	0	596	580	0	0	0	0	116	74	4434	8526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000287	DNA	DTH	1152	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000713	MITE	DTM	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000432_LTR	LTR	Gypsy	155	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000754_LTR	LTR	Gypsy	414	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	429	243	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000094	DNA	Helitron	3561	4311	2787	2281	10647	132	75	164	999	1908	147	1073	776	659	609	1132	823	563	121	145	176	178	288	316	734	613	0	1037	664	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000429_LTR	LTR	Copia	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000034	DNA	DTC	991	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000164	DNA	Helitron	959	71	0	0	94	101	0	0	51	0	110	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000065	DNA	Helitron	4997	0	0	0	757	0	0	0	456	54	0	72	389	253	287	107	105	187	106	105	590	100	136	796	220	820	485	2520	2093	1030	611	1187	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000412_LTR	LTR	Copia	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000699_INT	LTR	Copia	0	0	0	0	0	0	0	4158	0	0	0	0	4107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000391	DNA	DTA	654	0	0	631	73	0	72	654	0	0	0	0	0	0	0	0	366	0	179	345	559	503	308	312	156	288	195	330	273	0	0	145	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000320	DNA	DTM	951	0	0	543	3503	4469	1940	1471	0	795	0	106	0	0	0	98	113	0	227	21	736	1281	884	713	971	279	51	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000499_INT	LTR	Copia	0	0	0	0	0	0	3522	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000840_INT	LTR	Gypsy	3882	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	1852	0	0	1568	3759	496	0	0	123	0	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000578	MITE	DTA	239	0	0	0	0	0	0	0	0	242	0	0	61	0	243	285	0	64	0	0	0	0	0	0	240	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000608	DNA	Helitron	3254	0	0	0	0	0	0	0	0	12	24	0	0	89	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000386	DNA	DTM	0	813	0	210	1175	3954	0	684	0	445	149	0	0	0	0	0	0	0	0	0	0	161	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000198	DNA	DTA	2254	0	0	168	661	0	0	42	0	214	283	0	168	0	0	0	243	119	1293	684	582	57	259	0	1003	590	0	0	849	158	0	538	128	625	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000787	DNA	DTM	0	4537	4581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	295	2388	644	0	128	0	135	451	163	351	0	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000454_INT	LTR	Gypsy	1529	0	0	195	1177	1379	12106	3763	12703	19200	9938	12586	2377	4388	4675	5521	12000	12231	6544	4051	237	1774	1624	1124	931	369	2174	372	2597	4305	6531	342	202	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000702_LTR	LTR	Copia	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000159	DNA	Helitron	14981	691	0	254	350	95	418	527	2497	2446	2337	1920	5099	4537	7620	9160	7142	7749	19742	9479	12921	9288	12191	6665	2929	7848	7572	5382	1958	2657	2410	340	246	0	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000715	MITE	DTA	405	0	0	0	0	0	375	0	0	0	125	0	0	0	0	251	0	0	0	93	0	0	119	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000125	DNA	Helitron	12191	91	118	0	88	0	315	44	328	0	40	79	437	86	0	425	0	429	91	87	134	195	434	389	105	307	660	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000328_LTR	LTR	Copia	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000068	DNA	Helitron	3588	207	146	0	0	95	0	77	0	0	150	0	81	213	0	0	0	66	428	142	400	0	54	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000611	DNA	DTM	945	162	0	0	0	0	0	0	0	0	0	0	2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000532_LTR	LTR	Copia	0	0	0	0	347	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000260	DNA	DTM	1932	156	0	0	0	60	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000153	DNA	Helitron	0	148	0	1875	0	3609	0	0	0	2507	107	1137	0	94	203	187	842	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000108	DNA	DTH	3257	163	204	360	609	788	0	0	0	0	0	605	487	52	0	211	52	0	194	52	2019	982	899	769	838	767	153	302	789	1230	2731	494	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000240	DNA	Helitron	7459	0	0	0	0	0	0	939	296	534	1658	2034	1215	1872	875	1224	1758	4975	3432	4675	2698	5521	3614	3125	4210	4366	3098	1937	1749	318	712	116	411	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000734	DNA	Helitron	435	0	0	0	0	1298	2133	2065	2631	2208	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000813_INT	LTR	unknown	4308	2243	4097	1767	176	516	121	441	2409	1312	1965	4142	1881	176	189	799	346	2339	997	377	0	313	749	76	0	3095	254	68	122	471	644	1468	823	957	578	821	346	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000743	DNA	DTC	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	1435	1406	84	168	0	1417	0	759	502	0	0	106	970	2331	984	1732	893	700	0	459	684	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000712_LTR	LTR	Gypsy	741	77	155	2446	3604	1284	372	392	1817	924	1091	0	0	0	0	158	32	0	0	0	0	85	0	108	257	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000398	DNA	Helitron	544	0	551	30	0	533	0	528	0	0	536	238	0	518	0	0	131	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000609_LTR	LTR	Copia	396	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	346	203	339	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000556	DNA	Helitron	0	0	0	0	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000668_INT	LTR	Gypsy	2520	2530	0	0	2534	0	816	1670	2091	1626	0	0	0	0	101	2081	0	0	152	101	352	174	286	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
